Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2277956,12/04/2022,Texas,San Benito,151 Helen Moore Rd,Rising Scholars Academy,0,0,0,0,1
2276663,12/04/2022,Minnesota,Minneapolis,630 22nd Ave S,Lindell Library,0,1,0,0,0
2277203,12/04/2022,Louisiana,Baton Rouge,800 E McKinley St,McKinley High School,0,0,0,0,1
2289718,13/04/2022,Tennessee,Johnson City (Gray),1440 Suncrest Dr,Daniel Boone High School,0,0,0,0,2
2278412,13/04/2022,Ohio,Cleveland,4900 Turney Rd,Garfield Heights High School,0,0,0,0,1
2278311,13/04/2022,Arkansas,Jonesboro,2118 Valley View Dr,Valley View Junior High School,0,0,0,0,0
2278878,13/04/2022,Tennessee,Pioneer,6691 TN-297,Elk Valley Elementary School,0,0,0,0,1
2609033,14/04/2022,New Mexico,Albuquerque,2300 Arenal Rd SW,Rio Grande High School,0,0,0,0,1
2279188,14/04/2022,Ohio,Columbus,145 S Central Ave,Starling Middle School,0,0,0,0,1
2283925,15/04/2022,Washington,Kennewick,4624 W 10th Ave,Legacy High School,0,0,0,0,1
2279936,15/04/2022,Kentucky,Louisville,8620 Preston Hwy,Southern High School,0,0,0,0,1
2279838,15/04/2022,Virginia,Norfolk,700 Park Ave,Norfolk State University,0,1,0,0,0
2280851,17/04/2022,Florida,Orlando,601 W Livingston St,UnionWest at Creative Village,0,0,0,0,1
2281700,18/04/2022,Florida,Brandon,3003 S Kings Ave,Heaven Sent Daycare Center,0,0,0,1,0
2282676,19/04/2022,South Carolina,North Charleston,8500 Patriot Blvd,Fort Dorchester High School,0,0,0,0,1
2282609,19/04/2022,Georgia,Atlanta,1626 N Druid Hills Rd,Cross Keys High School,0,0,0,0,1
2283177,19/04/2022,Florida,Fort Lauderdale (Tamarac),8399 N University Dr,Renaissance Charter School,0,0,0,0,1
2283020,19/04/2022,Washington,Granger,315 Mentzer Ave,Granger High School,0,0,0,0,0
2283358,20/04/2022,Minnesota,Saint Paul,1540 6th St E,Harding High School,0,0,0,0,1
2284160,20/04/2022,California,Elk Grove,8661 Power Inn Rd,Monterey Trail High School,0,0,0,0,1
2283827,20/04/2022,Pennsylvania,Philadelphia,801 E Hunting Park Ave,Juniata Park Academy,0,0,0,0,0
2284455,21/04/2022,Nevada,North Las Vegas,150 W Deer Springs Way,Legacy High School,0,0,0,0,3
2284235,21/04/2022,Texas,Beeville,301 N Minnesota St,Moreno Junior High School,0,0,0,0,1
2284807,21/04/2022,Georgia,Tyrone,360 Jenkins Rd,Sandy Creek High School,0,0,0,0,1
2284083,21/04/2022,Ohio,Cuyahoga Falls,2300 4th St,Cuyahoga Falls High School,0,0,0,0,1
2284685,21/04/2022,Florida,Saint Petersburg,4940 62nd St N,Hollins High School,0,0,0,0,1
2285393,21/04/2022,North Dakota,Mott,205 Dakota Ave,Mott-Regent Public School,0,0,1,0,0
2284392,21/04/2022,Virginia,Henrico,7053 Messer Rd,Varina High School,0,0,0,0,1
2285514,22/04/2022,Georgia,Savannah,4437 Skidaway Rd,Savannah State University,0,2,0,0,0
2287648,22/04/2022,Mississippi,Meridian,702 Briarwood Rd,Northeast Lauderdale High School,0,0,0,0,1
2284968,22/04/2022,Illinois,West Chicago,326 Joliet St,West Chicago Community High School,0,0,0,0,1
2284910,22/04/2022,Wisconsin,Milwaukee (Wauwatosa),11400 W Center St,Wauwatosa West High School,0,0,0,0,1
2285632,22/04/2022,South Carolina,Irmo,1400 Old Tamah Rd,Dutch Fork High School,0,0,0,0,1
2285527,22/04/2022,Georgia,Lagrange,516 N Greenwood St,LaGrange High School,0,0,0,0,1
2287151,22/04/2022,Texas,San Antonio,23203 Bulverde Rd,Johnson High School,0,0,0,0,1
2285463,22/04/2022,Florida,Coconut Creek,1400 NW 44th Ave,Coconut Creek High School,0,0,0,0,1
2285947,22/04/2022,Alabama,Danville,9235 Danville Rd,Danville High School,0,0,0,0,1
2288314,25/04/2022,South Carolina,Blythewood,10901 Wilson Blvd,Blythewood High School,0,0,0,0,1
2287968,25/04/2022,Maryland,Hyattsville,7000 Adelphi Rd,Northwestern High School,0,0,0,0,0
2287874,25/04/2022,Tennessee,Nashville,6211 Nolensville Pike,Oliver Middle School,0,0,0,0,1
2289236,26/04/2022,Connecticut,New Milford,388 Danbury Rd,New Milford High School,0,0,0,0,3
2288273,26/04/2022,Michigan,Detroit,18240 Huntington Rd,Ralph W. Emerson Elementary-Middle School,0,0,0,0,0
2288476,26/04/2022,Tennessee,Rockvale,6545 TN-99,Rockvale High School,0,0,0,0,1
2288378,26/04/2022,South Carolina,Lancaster,325 Woodland Dr,Lancaster Senior High School,0,0,0,0,0
2288316,26/04/2022,South Carolina,Blythewood,10901 Wilson Blvd,Blythewood High School,0,0,0,0,1
2288002,26/04/2022,Texas,Rockdale,500 Childress Dr,Rockdale High School,0,0,0,0,1
2289598,26/04/2022,Indiana,Goshen,401 Lincolnway E,Goshen High School,0,0,0,0,0
2289944,27/04/2022,Tennessee,Memphis,3925 Chelsea Ave,Memphis Academy of Health Sciences High School,0,0,0,0,2
2289782,27/04/2022,Mississippi,Starkville,603 Yellow Jacket Dr,Starkville High School,0,0,0,0,1
2289741,27/04/2022,Oklahoma,Newcastle,611 E Fox Ln,Newcastle Middle School,0,0,0,0,1
2290419,27/04/2022,South Carolina,Bishopville,1800 Wisacky Hwy,Lee Central High School,0,0,0,0,2
2289689,27/04/2022,Texas,Schertz,1001 Elbel Rd,Samuel Clemens High School,0,0,0,0,0
2289664,27/04/2022,Massachusetts,Cambridge,50 Essex St,Prospect Hill Academy,0,0,0,0,1
2289215,27/04/2022,Virginia,Hampton,1067 Big Bethel Rd,Bethel High School,0,0,0,0,1
2289864,28/04/2022,West Virginia,Bluefield,535 W Cumberland Rd,Bluefield High School,0,0,0,0,1
2290006,28/04/2022,Alabama,Mobile,700 Donald St,LeFlore High School,0,0,0,0,2
2290583,28/04/2022,Utah,Bountiful,30 W 400 N,Bountiful Junior High School,0,0,0,0,1
2290314,28/04/2022,Pennsylvania,New Castle,750 Phelps Way,Lawrence County Career and Technical Center,0,0,0,0,0
2291681,28/04/2022,Indiana,Indianapolis,401 W Meridian School Rd,Perry Meridian High School,0,0,0,0,1
2290729,29/04/2022,Texas,Lubbock,1602 32nd St,O L Slaton Middle School,0,0,0,0,1
2290635,29/04/2022,Ohio,Dayton,3871 Yellowstone Ave,Valerie Elementary School,0,0,0,0,0
2291084,29/04/2022,Florida,Tallahassee,3013 Jim Lee Rd,Rickards High School,0,0,0,0,1
2290619,29/04/2022,Minnesota,Minneapolis (Brooklyn Park),6601 Xylon Ave N,Ann Bremer Education Center,0,0,0,0,1
2367013,29/04/2022,Tennessee,Coalmont,24970 TN-108,Grundy County High School,0,0,0,0,1
2292123,01/05/2022,Virginia,Petersburg,1 Hayden Dr,Virginia State University  Quad 1 Residence Hall,0,1,0,0,0
2292239,01/05/2022,Virginia,Manassas,7411 Hoadly Rd,Louise A Benton Middle School,0,2,0,0,1
2361329,02/05/2022,Florida,Lakeland,1100 Red Devil Way,Kathleen High School,0,0,0,0,1
2292799,02/05/2022,North Carolina,Charlotte,1430 Alleghany St,Phillip O. Berry Academy of Technology,0,0,0,0,1
2292537,02/05/2022,Maryland,Baltimore,125 N Hilton St,Green Street Academy,0,0,0,0,1
2296645,03/05/2022,Wisconsin,Ashland,1900 Beaser Ave,Ashland High School,0,0,0,0,1
2305659,03/05/2022,California,Long Beach,1600 Atlantic Ave,Long Beach Polytechnic High School,0,0,0,0,1
2294026,03/05/2022,Georgia,Lagrange,N/A,N/A,0,0,0,0,0
2295951,04/05/2022,Texas,San Antonio,734 Glamis Ave,Highland Hills Elementary,0,0,0,0,1
2294069,04/05/2022,Illinois,Oak Park,202 Scoville Ave,Oak Park and River Forest High School,0,0,0,0,1
2294626,04/05/2022,Minnesota,Duluth,11 E Superior St,Area Learning Center/Duluth Technology Village,0,0,0,0,1
2294551,04/05/2022,Oklahoma,Broken Arrow,412 S 9th St,Broken Arrow High School,0,0,0,0,1
2295172,05/05/2022,Kentucky,Louisville,10200 Dixie Hwy,Valley High School,0,0,0,0,0
2295140,05/05/2022,Georgia,Atlanta,1798 Haygood Dr NE,Druid Hills High School,0,0,0,0,1
2297835,09/05/2022,California,Sacramento,5000 McCloud Dr,Foothill High School,0,0,0,0,1
2297798,09/05/2022,California,Modesto,1000 Coffee Rd,Thomas Downey High School,0,0,0,0,1
2298661,09/05/2022,Minnesota,Albert Lea,2000 Tiger Ln,Albert Lea High School,0,0,0,0,1
2298653,09/05/2022,Georgia,Augusta,2329 Barton Chapel Rd,Barton Chapel Elementary School,0,0,0,0,0
2297914,09/05/2022,Tennessee,Hixson,1609 Thrasher Pike,Middle Valley Elementary School,0,0,0,0,0
2299003,09/05/2022,Texas,Port Arthur,2200 Jefferson Dr,Thomas Jefferson Middle School,0,0,0,0,0
2300138,09/05/2022,Tennessee,Oak Ridge,245 Robertsville Rd,Robertsville Middle School,0,0,0,0,0
2299681,10/05/2022,Pennsylvania,Imperial,205 W Allegheny Rd,West Allegheny High School,0,0,0,0,1
2300103,10/05/2022,Oregon,Eugene,1801 Echo Hollow Rd,Willamette High School,0,0,0,0,1
2300033,10/05/2022,Mississippi,Kosciusko,317 E Jefferson St,Kosciusko Junior High,0,0,0,0,0
2309952,10/05/2022,Kentucky,Louisville,2222 Crums Ln,Butler High School,0,0,0,0,0
2299908,11/05/2022,Alabama,Toney,2697 Carters Gin Rd,Sparkman Middle School,0,0,0,0,1
2299379,11/05/2022,Indiana,Indianapolis,11825 E 46th St,Winding Ridge Elementary,0,0,0,0,1
2299685,11/05/2022,South Carolina,Columbia,1231 Bluefield Dr,St. Andrews Middle School,0,0,0,0,1
2299610,11/05/2022,Virginia,Virginia Beach,5194 Chief Trail,Kempsville High School,0,0,0,0,1
2299994,11/05/2022,Mississippi,Gulfport,1310 42nd Ave,Gulfport Central Middle School,0,0,0,0,1
2300136,11/05/2022,Alabama,Theodore,5750 Katherine Hankins Dr,Hankins Middle School,0,0,0,0,0
2300081,11/05/2022,Louisiana,Franklin,101 2nd St,Foster W Prescott Elementary,0,0,0,0,1
2300012,11/05/2022,Kansas,De Soto,35000 W 91st St,De Soto High School,0,0,0,0,1
2300509,12/05/2022,Ohio,New Albany,87 N High St,New Albany Primary School,0,0,0,0,0
2301684,12/05/2022,Florida,Wildwood,700 Huey St,Wildwood Middle High School,0,0,0,0,1
2300739,12/05/2022,Texas,Houston,413 E 13th St,Heights High School,0,1,0,0,1
2301102,13/05/2022,Illinois,Hoffman Estates,1100 W Higgins Rd,Hoffman Estates High School,0,0,0,0,1
2301830,13/05/2022,Pennsylvania,Philadelphia,S 32nd St and Market St,Drexel University/ Shake Shack,0,1,0,0,0
